,Model,Window,Neutral,Train Score,Test Score,Params,Estimator
1,XGBoost,1,1,0.5090507256224168,0.5,"{'colsample_bytree': 0.9593799996112855, 'gamma': 4.264970315872904, 'learning_rate': 0.07523559091160036, 'max_depth': 18, 'min_child_weight': 3.2458313847231937, 'n_estimators': 48, 'reg_alpha': 0.7707533689379531, 'subsample': 0.969153360211801}","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=0.9593799996112855, gamma=4.264970315872904,
       learning_rate=0.07523559091160036, max_delta_step=0, max_depth=18,
       min_child_weight=3.2458313847231937, missing=None, n_estimators=48,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0.7707533689379531, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=True, subsample=0.969153360211801)"
0,Random Forest,1,0,0.5051272165334665,0.5,"{'max_depth': 3, 'n_estimators': 26}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=3, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=26, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
0,Random Forest,5,1,0.5001611593063799,0.5,"{'max_depth': 18, 'n_estimators': 34}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=18, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=34, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
0,Random Forest,3,1,0.4886458945466298,0.49999999999999994,"{'max_depth': 9, 'n_estimators': 17}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=9, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=17, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
0,Random Forest,3,0,0.4869681482732953,0.48351648351648346,"{'max_depth': 2, 'n_estimators': 61}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=2, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=61, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
3,Catboost,5,1,0.4846620046620047,0.45833333333333337,{},<catboost.core.CatBoostClassifier object at 0x1a18b1b828>
3,Catboost,5,0,0.4638276704912735,0.611111111111111,{},<catboost.core.CatBoostClassifier object at 0x1a18c39ba8>
3,Catboost,1,0,0.462585215030068,0.4464285714285714,{},<catboost.core.CatBoostClassifier object at 0x1a18b174a8>
3,Catboost,3,0,0.45664805170319883,0.47252747252747246,{},<catboost.core.CatBoostClassifier object at 0x1a18b70438>
3,Catboost,1,1,0.45132975480401943,0.4910714285714286,{},<catboost.core.CatBoostClassifier object at 0x1a18b9add8>
3,Catboost,3,1,0.4365575968149498,0.24175824175824176,{},<catboost.core.CatBoostClassifier object at 0x1a18c41ac8>
